Credits,Player Type,Player Name,Team,IsPlaying,lineupOrder
6,ALL,Sunil Narine,KKR,PLAYING,0
6.5,BAT,Phil Salt,RCB,PLAYING,14
7,ALL,Ajinkya Rahane,RCB,PLAYING,15
7.5,BAT,Virat Kohli,RCB,PLAYING,7
8,ALL,Krunal Pandya,RCB,PLAYING,4
7,BAT,Rajat Patidar,RCB,PLAYING,16
6,BOWL,Josh Hazelwood,RCB,PLAYING,15
7.5,BAT,Angkrish Raguvanshi,KKR,PLAYING,8
7,BOWL,Rasikh Salam,RCB,PLAYING,0
8.5,BOWL,Suyash sharma,RCB,PLAYING,7
9,WK,Jitesh Sharma,RCB,PLAYING,6
7.5,ALL,Liam Livingstone,RCB,PLAYING,5
8.5,BOWL,Yash dayal,RCB,PLAYING,2
5.5,BOWL,Varun Chakvarthy,KKR,PLAYING,16
7.5,BAT,Rinku Singh,KKR,PLAYING,0
8,BOWL,Vaibhav Arora ,KKR,PLAYING,1
5.5,ALL,Ramadeep Singh,KKR,PLAYING,0
7,BAT,Devdutt Padikkal,RCB,PLAYING,0
7.5,BOWL,Harshit Rana ,KKR,PLAYING,6
7,BAT,Venkatesh Iyer,KKR,PLAYING,12
8,BOWL,Spencer Jhonshon,KKR,PLAYING,3
9,ALL,Andre Russell,KKR,PLAYING,1
6.5,WK,Quinton de Kock,KKR,PLAYING,5
7,BAT,Tim David,RCB,PLAYING,0
