Credits,Player Type,Player Name,Team,IsPlaying,lineupOrder
8,WK,Heinrich Klaasen,SRH,PLAYING,8
8.5,WK,Sanju Samson,RR,PLAYING,5
8.5,WK,Ishan Kisan,SRH,PLAYING,7
6,WK,Dhruv Jurel,RR,PLAYING,0
8,BAT,Travis Head,SRH,PLAYING,6
8,BAT,Yashasvi Jaiswal,RR,PLAYING,8
7,BAT,Shimron Hetmyer,RR,PLAYING,7
7.5,BAT,Abhinav Manohar,SRH,PLAYING,6
6,BAT,Shubham Dubey,RR,PLAYING,0
8.5,BAT,Aniket Verma,SRH,PLAYING,5
6.5,ALL,Abhishek Sharma,SRH,PLAYING,0
9,ALL,Nitish Kumar Reddy,SRH,PLAYING,1
9,ALL,Riyan Parag,RR,PLAYING,3
8.5,ALL,Nitish Rana,RR,PLAYING,4
8.5,BOWL,Mohammed Shami,SRH,PLAYING,2
9,BOWL,Pat Cummins,SRH,PLAYING,2
9,BOWL,Harshal Patel,SRH,PLAYING,3
7.5,BOWL,Jofra Archer,RR,PLAYING,1
7.5,BOWL,Maheesh Theekshana,RR,PLAYING,4
6,BOWL,Sandeep Sharma,RR,PLAYING,0
8.5,BOWL,Tushar Deshpande,RR,PLAYING,9
7.5,BOWL,Fazalhaq Farooqi,RR,PLAYING,10
8,BOWL,Swapnil Singh,SRH,PLAYING,11
