BowlerName,RightHandedBat,Nationality,TeamCode,TeamName,Matches,CompetitionID,Innings,TeamID,BowlerID,LegalBallsBowled,TotalRunsConceded,DotBallsBowled,DotBallPercent,ScoringBallsBowled,BowlingAverage,StrikeRate,BowlingSR,BoundaryPercentage,BoundaryFrequency,EconomyRate,OversBowled,Ones,Twos,Threes,Fours,Sixes,Wides,NoBalls,Byes,LegBye,Wickets,InningsRuns,InningsWickets,MatchRuns,MatchWickets,BBIW,BBMW,Maidens,MaidenWickets,FourWickets,FiveWickets,TenWickets,ClientPlayerID
Noor Ahmad,true,Overseas,CSK,Chennai Super Kings,3,203,3,13,2022-100mb00000000975-56f6385ba44611,72,82,28,38.88,49,9.11,8.00,8.00,48.78,9.00,6.83,12.0,33,4,0,4,4,5,0,4,0,9,18,4,18,4,18/4,18/4,0,0,1,0,0,20590
Mitchell Starc,false,Overseas,DC,Delhi Capitals,2,203,2,14,2018-100mb00000000031-b334eaf6f08611,46,77,21,45.65,27,9.62,5.75,5.75,77.92,3.53,10.04,7.4,13,1,0,9,4,1,1,0,0,8,35,5,35,5,35/5,35/5,0,0,0,1,0,490
Varun Chakaravarthy,true,Indian,KKR,Kolkata Knight Riders,4,203,4,16,2019-100mb00000000140-a41b85f2449d11,90,94,40,44.44,52,15.66,15.00,15.00,53.19,8.18,6.26,15.0,36,3,0,8,3,2,0,0,0,6,22,3,22,3,22/3,22/3,0,0,0,0,0,5432
Josh Hazlewood,false,Overseas,RCB,Royal Challengers Bengaluru,3,203,3,19,2018-100mb00000000036-2af54408f88a11,71,86,41,57.74,31,14.33,11.83,11.83,81.39,4.73,7.26,11.5,15,0,0,10,5,1,0,0,1,6,21,3,21,3,21/3,21/3,0,0,0,0,0,857
Sai Kishore,false,Indian,GT,Gujarat Titans,3,203,3,35,2020-100mb00000000544-980117aa639c11,72,89,29,40.27,45,14.83,12.00,12.00,58.42,7.20,7.41,12.0,32,0,1,4,6,2,0,0,0,6,30,3,30,3,30/3,30/3,0,0,0,0,0,7123
Khaleel Ahmed,true,Indian,CSK,Chennai Super Kings,3,203,3,13,2018-100mb00000000008-787fc4ece99b11,72,95,40,55.55,34,15.83,12.00,12.00,80.00,4.23,7.91,12.0,13,2,0,13,4,1,1,1,1,6,29,3,29,3,29/3,29/3,0,0,0,0,0,2964
Vaibhav Arora,true,Indian,KKR,Kolkata Knight Riders,3,203,3,16,2021-100mb00000000583-8f4c0c4491dd11,66,104,25,37.87,43,17.33,11.00,11.00,73.07,3.88,9.45,11.0,22,2,0,13,4,2,0,0,0,6,29,3,29,3,29/3,29/3,1,1,0,0,0,14859
Shardul Thakur,true,Indian,LSG,Lucknow Super Giants,3,203,3,77,2019-100mb00000000105-4c526de743fe11,54,92,22,40.74,36,15.33,9.00,9.00,76.08,3.85,10.22,9.0,18,0,0,7,7,4,0,0,0,6,34,4,34,4,34/4,34/4,0,0,1,0,0,1745
Kuldeep Yadav,false,Indian,DC,Delhi Capitals,2,203,2,14,2018-100mb00000000014-227bc550e99c11,48,42,28,58.33,20,8.40,9.60,9.60,61.90,9.60,5.25,8.0,14,1,0,2,3,0,0,0,1,5,22,3,22,3,22/3,22/3,0,0,0,0,0,261
Digvesh Singh,true,Indian,LSG,Lucknow Super Giants,3,203,3,77,2024-100mb00000003565-6cf0c233abda11,72,101,28,38.88,46,20.20,14.40,14.40,61.38,5.14,8.41,12.0,28,3,1,11,3,1,1,0,0,5,30,2,30,2,30/2,30/2,0,0,0,0,0,5847
Mohammed Siraj,true,Indian,GT,Gujarat Titans,3,203,3,35,2019-100mb00000000063-d9aa7a01187311,72,107,36,50.00,42,21.40,14.40,14.40,78.50,4.00,8.91,12.0,17,2,0,12,6,6,0,0,10,5,19,3,19,3,19/3,19/3,0,0,0,0,0,3840
Wanindu Hasaranga,true,Overseas,RR,Rajasthan Royals,2,203,2,18,2020-100mb00000000377-c8cec37e2dec11,42,69,14,33.33,28,13.80,8.40,8.40,72.46,4.20,9.85,7.0,17,1,0,5,5,0,0,0,1,5,35,4,35,4,35/4,35/4,0,0,1,0,0,3082
Arshdeep Singh,false,Indian,PBKS,Punjab Kings,2,203,2,15,2019-100mb00000000125-2485f88b449911,48,79,19,39.58,31,15.80,9.60,9.60,70.88,4.00,9.87,8.0,14,3,0,8,4,2,0,0,0,5,43,3,43,3,43/3,43/3,0,0,0,0,0,4698
Matheesha Pathirana,true,Overseas,CSK,Chennai Super Kings,2,203,2,13,2022-100mb00000001014-1f0cfb3dc17911,48,64,21,43.75,34,16.00,12.00,12.00,53.12,6.85,8.00,8.0,18,2,0,4,3,7,0,1,1,4,28,2,28,2,28/2,28/2,0,0,0,0,0,20627
Ashwani Kumar,false,Indian,MI,Mumbai Indians,1,203,1,17,2024-100mb00000003569-45ffd8bdabdc11,18,24,10,55.55,10,6.00,4.50,4.50,75.00,4.50,8.00,3.0,4,0,0,3,1,1,1,0,1,4,24,4,24,4,24/4,24/4,0,0,1,0,0,22030
