StrikerName,PlayerId,Matches,PlayerDOB,RightHandedBat,Nationality,TCompetitionID,TStrikerID,TTeamID,TeamCode,TeamName,CompetitionID,TeamID,StrikerID,Innings,Extras,TotalRuns,Balls,Dotballs,StrikeRate,DBPercent,DBFreq,BdryFreq,BdryPercent,RPSS,ScoringBalls,Ones,Twos,Threes,Fours,Sixes,Outs,NotOuts,BattingAveragesss,FiftyPlusRuns,Centuries,DoubleCenturies,HighestScore,BattingAverage,Catches,Stumpings,ClientPlayerID
Nicholas Pooran,136,2,0000-00-00,false,Overseas,203,2019-100mb00000000136-9313d156449c11,77,LSG,Lucknow Super Giants,203,77,2019-100mb00000000136-9313d156449c11,2,10,145,56,14,258.92,25.00,4.00,2.24,86.89,3.45,42,16,0,1,12,13,2,0,NA,2,0,0,75,72.50,3,0,1703
Sai Sudharsan,976,2,0000-00-00,false,Indian,203,2022-100mb00000000976-79aa33cca44611,35,GT,Gujarat Titans,203,35,2022-100mb00000000976-79aa33cca44611,2,7,137,82,21,167.07,25.60,3.90,4.82,61.31,2.24,61,38,5,0,9,8,2,0,NA,2,0,0,74,68.50,1,0,20592
Travis Head,37,3,0000-00-00,false,Overseas,203,2018-100mb00000000037-4e250de6f88a11,20,SRH,Sunrisers Hyderabad,203,20,2018-100mb00000000037-4e250de6f88a11,3,9,136,71,24,191.54,33.80,2.95,2.95,79.41,2.89,47,18,5,0,18,6,3,0,NA,1,0,0,67,45.33,0,0,1020
Mitchell Marsh,40,2,0000-00-00,true,Overseas,203,2018-100mb00000000040-7f15f6c7f88a11,77,LSG,Lucknow Super Giants,203,77,2018-100mb00000000040-7f15f6c7f88a11,2,7,124,67,23,185.07,34.32,2.91,3.19,80.64,2.81,44,22,1,0,13,8,2,0,NA,2,0,0,72,62.00,0,0,221
Aniket Verma,3576,3,0000-00-00,true,Indian,203,2024-100mb00000003576-caeb1dadabdf11,20,SRH,Sunrisers Hyderabad,203,20,2024-100mb00000003576-caeb1dadabdf11,3,2,117,57,18,205.26,31.57,3.16,3.35,78.63,3.00,39,19,3,0,5,12,3,0,NA,1,0,0,74,39.00,0,0,22082
Ruturaj Gaikwad,102,3,0000-00-00,true,Indian,203,2019-100mb00000000102-28e7fca043fc11,13,CSK,Chennai Super Kings,203,13,2019-100mb00000000102-28e7fca043fc11,3,0,116,74,26,156.75,35.13,2.84,4.35,65.51,2.41,48,23,7,1,13,4,3,0,NA,2,0,0,63,38.67,3,0,5443
Ishan Kishan,164,3,0000-00-00,false,Indian,203,2019-100mb00000000164-8ae075db44ad11,20,SRH,Sunrisers Hyderabad,203,20,2019-100mb00000000164-8ae075db44ad11,3,10,108,53,12,203.77,22.64,4.41,3.11,74.07,2.63,41,20,4,0,11,6,2,1,108.00,0,1,0,106*,54.00,1,0,2975
Dhruv Jurel,1004,3,0000-00-00,true,Indian,203,2022-100mb00000001004-da6e207ea44e11,18,RR,Rajasthan Royals,203,18,2022-100mb00000001004-da6e207ea44e11,3,2,106,70,26,151.42,37.14,2.69,4.37,71.69,2.40,44,26,2,0,10,6,3,0,NA,1,0,0,70,35.33,1,0,20620
Rachin Ravindra,724,3,0000-00-00,false,Overseas,203,2021-100mb00000000724-7645abdd460011,13,CSK,Chennai Super Kings,203,13,2021-100mb00000000724-7645abdd460011,3,4,106,80,21,132.50,26.25,3.80,7.27,49.05,1.79,59,42,6,0,7,4,2,1,106.00,1,0,0,65*,53.00,2,0,20684
Surya Kumar Yadav,174,3,0000-00-00,true,Indian,203,2019-100mb00000000174-619a804244af11,17,MI,Mumbai Indians,203,17,2019-100mb00000000174-619a804244af11,3,2,104,63,17,165.07,26.98,3.70,4.84,63.46,2.26,46,28,5,0,6,7,2,1,104.00,0,0,0,48,52.00,0,0,108
